Date,Open,High,Low,Close,Volume
2022-01-10,36175.21,36175.21,35639.91,36068.87,488023456
2022-01-11,36058.85,36271.47,35769.38,36252.02,421210623
2022-01-12,36336.16,36453.49,36168.15,36290.32,361798146
2022-01-13,36312.49,36513.88,36044.22,36113.62,395636110
2022-01-14,35996.43,35996.43,35641.49,35911.81,439707231
2022-01-18,35661.76,35661.76,35262.02,35368.47,490284707
2022-01-19,35412.3,35547.83,35015.49,35028.65,443735245
2022-01-20,35102.66,35490.2,34670.12,34715.39,429729331
2022-01-21,34701.69,34896.67,34229.55,34265.37,593443286
2022-01-24,34070.61,34420.99,33150.33,34364.5,768621756
2022-01-25,34186.64,34591.04,33545.52,34297.73,607002705
2022-01-26,34520.82,34815.67,33876.48,34168.09,620827829
2022-01-27,34261.75,34773.32,34007.78,34160.78,597909180
2022-01-28,34135.24,34731.77,33807.51,34725.47,626107251
2022-01-31,34691.17,35148.14,34496.1,35131.86,541194328
2022-02-01,35151.47,35441.09,34977.95,35405.24,479954926
2022-02-02,35378.19,35679.2,35290.12,35629.33,427396514
2022-02-03,35520.08,35535.94,35071.06,35111.16,430259974
2022-02-04,35095.74,35333.55,34799.08,35089.74,400793221
2022-02-07,35108.38,35325.01,34993.98,35091.13,394775875
2022-02-08,35160.68,35544.89,35090.42,35462.78,432972715
2022-02-09,35614.9,35824.28,35614.9,35768.06,421274330
2022-02-10,35630.81,35800.24,35100.72,35241.59,478651056
2022-02-11,35267.89,35431.15,34620.52,34738.06,477808044
2022-02-14,34694.5,34744.56,34304.28,34566.17,445148572
2022-02-15,34686.19,35047.79,34686.19,34988.84,359542132
2022-02-16,34951.83,35042.09,34642.64,34934.27,351306790
2022-02-17,34858.47,34858.47,34246.23,34312.03,389158484
2022-02-18,34310.45,34423.58,33976.18,34079.18,457375432
2022-02-22,33974.09,34024.74,33364.29,33596.61,500105667
2022-02-23,33680.97,33832.59,33084.9,33131.76,421224713
2022-02-24,32830.33,33269.34,32272.64,33223.83,673343191
2022-02-25,33277.22,34095.74,33277.22,34058.75,475477113
2022-02-28,33870.62,33963.63,33469.31,33892.6,524132660
2022-03-01,33813.48,33870.14,33107.67,33294.95,503166939
2022-03-02,33379.51,34013.67,33379.51,33891.35,472111450
2022-03-03,33972.87,34179.07,33641.53,33794.66,424911715
2022-03-04,33655.43,33655.43,33254.12,33614.8,482475277
2022-03-07,33579.75,33579.75,32806.15,32817.38,581146275
2022-03-08,32885.17,33402.98,32578.73,32632.64,653514090
2022-03-09,32860.42,33457.28,32860.42,33286.25,507633430
2022-03-10,33106.77,33236.59,32819.76,33174.07,462887778
2022-03-11,33279.72,33515.61,32911.89,32944.19,432875928
2022-03-14,33000.37,33395.59,32818.16,32945.24,475399572
2022-03-15,32989.27,33620.84,32989.27,33544.34,466327845
2022-03-16,33653.93,34075.94,33391.24,34063.1,492932033
2022-03-17,33995.39,34483.92,33896.06,34480.76,399761144
2022-03-18,34466.72,34755.2,34279.83,34754.93,704812266
2022-03-21,34669.85,34808.28,34341.81,34552.99,472925514
2022-03-22,34583.24,34882.03,34583.24,34807.46,419366656
2022-03-23,34748.84,34748.84,34352.96,34358.5,398765941
2022-03-24,34406.81,34713.56,34355.42,34707.94,365854858
2022-03-25,34702.39,34942.7,34631.52,34861.24,323036635
2022-03-28,34833.03,34957.93,34552.23,34955.89,341647029
2022-03-29,35114.35,35372.26,35030.07,35294.19,419804272
2022-03-30,35273.63,35361.36,35058.58,35228.81,369842941
2022-03-31,35201.52,35201.52,34677.99,34678.35,484697596
2022-04-01,34740.89,34847.91,34538.25,34818.27,379142886
2022-04-04,34799.98,34940.78,34615.38,34921.88,350557123
2022-04-05,34876.33,35112.21,34566.04,34641.18,344602811
2022-04-06,34520.34,34609.84,34277.17,34496.51,434859407
2022-04-07,34439.24,34705.83,34190.95,34583.57,384117327
2022-04-08,34569.24,34908.46,34470.19,34721.12,351166379
2022-04-11,34630.27,34701.34,34272.29,34308.08,376083928
2022-04-12,34412.51,34669.97,34102.81,34220.36,373804662
2022-04-13,34166.64,34598.36,34140.64,34564.59,341268894
2022-04-14,34628.46,34889.17,34437.5,34451.23,388476298
2022-04-18,34411.49,34618.29,34279.08,34411.69,298634820
2022-04-19,34394.62,34983.11,34394.62,34911.2,350685346
2022-04-20,34962.67,35315.4,34962.67,35160.79,378536991
2022-04-21,35432,35521,34752,34792.76,412438664
2022-04-22,34727.38,34727.38,33773.39,33811.4,415964010
2022-04-25,33731.65,34106.01,33323.37,34049.46,477810060
2022-04-26,33907.49,33909.51,33230.95,33240.18,456006869
2022-04-27,33450.92,33697.18,33108.89,33301.93,507356836
2022-04-28,33425.96,34054.79,33248.46,33916.39,510766945
2022-04-29,33787.01,33919.59,32913.15,32977.21,552952031
2022-05-02,32978.49,33224.95,32449.87,33061.5,516891401
2022-05-03,33086.09,33341.58,32914.75,33128.79,425820730
2022-05-04,33171.8,34117.74,33021.84,34061.06,479098068
2022-05-05,33854.17,33854.17,32685.1,32997.97,507031169
2022-05-06,32773.88,33055.84,32474.69,32899.37,457941820
2022-05-09,32685.17,32685.17,32121.98,32245.7,535207901
2022-05-10,32504.09,32752.17,31887.89,32160.74,493371858
2022-05-11,32123.24,32584.02,31798.86,31834.11,521732651
2022-05-12,31699.04,31914.46,31228.22,31730.3,596967045
2022-05-13,31963.86,32276.05,31862.79,32196.66,430464201
2022-05-16,32152.15,32514.02,31928.18,32223.42,373751022
2022-05-17,32427,32689.14,32308.15,32654.59,425402921
2022-05-18,32468.67,32468.67,31393.95,31490.07,508465869
2022-05-19,31262.62,31569.13,31016.41,31253.13,554268268
2022-05-20,31426.94,31515.78,30635.76,31261.9,551025623
2022-05-23,31395.89,31968.42,31395.89,31880.24,452693827
2022-05-24,31717.61,32014.86,31365.59,31928.62,428527626
2022-05-25,31816.31,32254.44,31754.33,32120.28,392989139
2022-05-26,32248.17,32774.14,32248.17,32637.19,395343889
2022-05-27,32735.09,33213.62,32682.01,33212.96,369091013
2022-05-31,33160.59,33240.22,32752.34,32990.12,640857432
2022-06-01,33156.31,33272.34,32584.76,32813.23,344779544
2022-06-02,32809.01,33248.61,32509.43,33248.28,350437139
2022-06-03,32986.32,33135.61,32839.21,32899.7,327416082
2022-06-06,33032.04,33235.37,32819.5,32915.78,289294618
2022-06-07,32783.03,33207.45,32641.85,33180.14,327463783
2022-06-08,33087.07,33156.5,32824.37,32910.9,314420559
2022-06-09,32828.62,32956.73,32267.78,32272.79,331546530
2022-06-10,32053.52,32053.52,31387.84,31392.79,411949075
2022-06-13,31144.91,31144.91,30373.72,30516.74,526922052
2022-06-14,30592.34,30690.8,30144.23,30364.83,412780415
2022-06-15,30570.5,31011.97,30185.08,30668.53,440936390
2022-06-16,30305.74,30305.74,29740.35,29927.07,489307531
2022-06-17,29912.7,30167.52,29653.29,29888.78,788325339
2022-06-21,30074.69,30653.98,30074.69,30530.25,427754260
2022-06-22,30352.57,30777.92,30166.01,30483.13,387920496
2022-06-23,30570.33,30715.63,30293.4,30677.36,408588705
2022-06-24,30846.94,31517.29,30846.94,31500.68,509039151
2022-06-27,31533.6,31598.59,31351.37,31438.26,348046200
2022-06-28,31549.05,31885.09,30934.33,30946.99,395277656
2022-06-29,31067.41,31152.96,30894.53,31029.31,305796090
2022-06-30,30790,30979.85,30431.87,30775.43,461856685
2022-07-01,30737.77,31139.35,30487.79,31097.26,350901000
2022-07-05,30903.12,30971.74,30355.12,30967.82,376568685
2022-07-06,30957.3,31224.69,30794.84,31037.68,341281472
2022-07-07,31190.65,31421.84,31154.64,31384.55,332059718
2022-07-08,31348.43,31511.46,31212.45,31338.15,266469595
2022-07-11,31277.98,31367.55,31114.4,31173.84,272135315
2022-07-12,31113.31,31346.1,30860.51,30981.33,354141591
2022-07-13,30743.63,30979.17,30514.61,30772.79,321953031
2022-07-14,30451.8,30680.12,30143.93,30630.17,362360877
2022-07-15,30775.37,31288.26,30775.37,31288.26,338528481
2022-07-18,31475.98,31644.68,30982.97,31072.61,311198805
2022-07-19,31165.91,31842.25,31165.91,31827.05,381296480
2022-07-20,31829.99,31944.45,31646.95,31874.84,319625781
2022-07-21,31826.49,32040.63,31534.08,32036.9,304723961
2022-07-22,32167.92,32219.25,31731.47,31899.29,321305304
